Id,Text,Author
110,remembers as,Edgar Allan Poe
111,"secret, and I imitated him, after my measure. It was to inflate the",Edgar Allan Poe
112,"exhale the air. It looked surprising, and was, indeed, a little rough;",Edgar Allan Poe
113,"""A challenge to a foot race,"" says Colonel Preston, ""had been passed",Edgar Allan Poe
114,between the two classical schools of the city; we selected Poe as our,Edgar Allan Poe
115,Capitol Square. Historical truth compels me to add that on this,Edgar Allan Poe
116,"golden apples.""",Edgar Allan Poe
117,among the first--not first without dispute. We had competitors who,Edgar Allan Poe
118,"as one of the ripest scholars in Virginia, and distinguished also as a",Edgar Allan Poe
119,"profound lawyer. If Howard was less brilliant than Poe, he was far",Edgar Allan Poe
120,"Grandinis misit Pater, et rubente,'_",Edgar Allan Poe
121,And,Edgar Allan Poe
122,"Mea renidet in dono lacu ar,_' etc.",Edgar Allan Poe
123,"capricious, inclined to be imperious, and, though of generous",Edgar Allan Poe
124,"exact was refused to him. I add another thing which had its influence,",Edgar Allan Poe
125,"aristocratic cities on this side of the Atlantic.... A school is, of",Edgar Allan Poe
126,"had been players, and that he was dependent upon the bounty that is",Edgar Allan Poe
127,tended to blight his prospective hopes. Although mixing with members of,Edgar Allan Poe
128,"that his parentage was obscure, and that he himself was dependent upon",Edgar Allan Poe
129,the charity and caprice of an alien by blood. For many lads these things,Edgar Allan Poe
130,gall and wormwood. And Mr. Allan was not the man to wean Poe from such,Edgar Allan Poe
131,"boy, and indulged him in all that wealth could purchase, but at other",Edgar Allan Poe
132,"Virginian academy, and several still living have favored us with",Edgar Allan Poe
133,reminiscences of him. His feats in swimming to which Colonel Preston has,Edgar Allan Poe
134,order to swim to a certain point with him. After floundering about in,Edgar Allan Poe
135,"which Mayo's Bridge was then supported, and there attempted to rest and",Edgar Allan Poe
136,"exhausted and benumbed condition, whilst Mayo was rescued by a boat just",Edgar Allan Poe
137,"Alluding to another quite famous swimming feat of his own, the poet",Edgar Allan Poe
138,"Wharf to Warwick (six miles), in a hot June sun, against one of the",Edgar Allan Poe
139,strongest tides ever known in the river. It would have been a feat,Edgar Allan Poe
140,"Colonel Mayo, who had tried to accompany him in this performance, had to",Edgar Allan Poe
141,"stop on the way, and says that Poe, when he reached the goal, emerged",Edgar Allan Poe
142,"did not seem at all fatigued, and that he walked back to Richmond",Edgar Allan Poe
143,"slight in figure and person, but to have been well made, active, sinewy,",Edgar Allan Poe
144,an almost fanatical intensity of affection. A well-authenticated,Edgar Allan Poe
145,"his hands and spoke some gentle and gracious words of welcome, which",Edgar Allan Poe
146,so penetrated the sensitive heart of the orphan boy as to deprive him,Edgar Allan Poe
147,"He returned home in a dream, with but one thought, one hope in life",Edgar Allan Poe
148,#NAME?,Edgar Allan Poe
149,"desolate world so beautiful to him, and filled his lonely heart with",Edgar Allan Poe
150,"very often the case, he went to Mrs. Stannard for sympathy, for",Edgar Allan Poe
151,frequently thwarted his hopes ended this friendship. The lady was,Edgar Allan Poe
152,"overwhelmed by a terrible calamity, and at the period when her guiding",Edgar Allan Poe
153,"died, and was entombed in a neighboring cemetery, but her poor boyish",Edgar Allan Poe
154,"winds wailed mournfully over the graves, he lingered longest, and came",Edgar Allan Poe
155,"away most regretfully.""",Edgar Allan Poe
156,"of his boyhood, was cherished to the last. The name of Helen frequently",Edgar Allan Poe
157,"recurs in his youthful verses, ""The Pæan,"" now first included in his",Edgar Allan Poe
158,was already a poet. Among his schoolfellows he appears to have acquired,Edgar Allan Poe
159,some little reputation as a writer of satirical verses; but of his,Edgar Allan Poe
160,that at his adoptive home poesy was a forbidden thing. As early as 1821,Edgar Allan Poe
161,"he appears to have essayed various pieces, and some of these were",Edgar Allan Poe
162,"found an outlet. With feelings such as were his, it came to pass, as a",Edgar Allan Poe
163,"matter of course, that the youthful poet fell in love. His first affair",Edgar Allan Poe
164,"properly be called, was of the most thoroughly romantic, shadowy, and",Edgar Allan Poe
165,"imaginative character. It was born of the hour, and of the youthful",Edgar Allan Poe
166,"necessity to love. It had no peculiar regard to the person, or to the",Edgar Allan Poe
167,"character, or to the reciprocating affection... Any maiden, not",Edgar Allan Poe
168,"imaginative and poetic youth. ""The result,"" he deems, ""was not merely",Edgar Allan Poe
169,"natural, or merely probable; it was as inevitable as destiny itself.""",Edgar Allan Poe
170,in a house opposite to the Allans in Richmond. The young people met,Edgar Allan Poe
171,"again and again, and the lady, who has only recently passed away,",Edgar Allan Poe
172,"enthusiastic and impulsive, but with prejudices already strongly",Edgar Allan Poe
173,the University had persuaded his fair inamorata to engage herself to,Edgar Allan Poe
174,"intercepted the correspondence, until it ceased. At seventeen, Elmira",Edgar Allan Poe
175,failed to elicit any response from the object of his youthful affection.,Edgar Allan Poe
176,session in December of that year.,Edgar Allan Poe
177,"of the last three classes,"" says Mr. William Wertenbaker, the recently",Edgar Allan Poe
178,time the highest honor a student could obtain. The present regulations,Edgar Allan Poe
179,"regulations, he would have graduated in the two languages above-named,",Edgar Allan Poe
180,"These statements of Poe's classmate are confirmed by Dr. Harrison,",Edgar Allan Poe
181,Several of Poe's classmates at Charlottesville have testified to his,Edgar Allan Poe
182,"associates."" Mr. Thomas Boiling, one of his fellow-students who has",Edgar Allan Poe
183,"favored us with reminiscences of him, says:",Edgar Allan Poe
184,"""I was 'acquainted', with him, but that is about all. My impression",Edgar Allan Poe
185,"melancholy face always, and even his smile--for I do not ever remember",Edgar Allan Poe
186,"same ever sad face, appeared to participate in what was amusement to",Edgar Allan Poe
187,"whilst Mr. Boiling mentions, in connection with the poet's artistic",Edgar Allan Poe
188,"facility, some interesting incidents. The two young men had purchased",Edgar Allan Poe
189,"copies of a handsomely-illustrated edition of Byron's poems, and upon",Edgar Allan Poe
190,until he had filled all the space in his room with life-size figures,Edgar Allan Poe
191,"As Mr. Bolling talked with his associate, Poe would continue to scribble",Edgar Allan Poe
192,"remonstrated with him on his want of politeness, he replied that he had",Edgar Allan Poe
193,assigning as a reason for his apparent want of courtesy that he was,Edgar Allan Poe
194,"""As librarian I had frequent official intercourse with Poe, but it was",Edgar Allan Poe
195,circle. After spending an evening together at a private house he,Edgar Allan Poe
196,"invited me, on our return, into his room. It was a cold night in",Edgar Allan Poe
197,"estimated his indebtedness at $2,000 and, though they were gaming",Edgar Allan Poe
198,"debts, he was earnest and emphatic in the declaration that he was",Edgar Allan Poe
199,"bound by honor to pay them at the earliest opportunity.""",Edgar Allan Poe
200,This appears to have been Poe's last night at the university. He left it,Edgar Allan Poe
201,"never to return, yet, short as was his sojourn there, he left behind him",Edgar Allan Poe
202,"enrol his name among her most respected sons. Poe's adopted father,",Edgar Allan Poe
203,pleasure: whatever view he may have entertained of the lad's scholastic,Edgar Allan Poe
204,"like too many of his classmates, he had incurred. A violent altercation",Edgar Allan Poe
205,shelter of home to try and make his way in the world alone.,Edgar Allan Poe
206,and there looked up some of his mother's old theatrical friends. Whether,Edgar Allan Poe
207,"own upon the stage,--that dream of all young authors,--is now unknown.",Edgar Allan Poe
208,"the other succeeded in getting a little volume of poems printed ""for",Edgar Allan Poe
209,nearing nineteen. Doubtless Poe expected to dispose of his volume by,Edgar Allan Poe
210,"adventures there, and Poe himself certainly alleged that such was the",Edgar Allan Poe
211,case. Numbers of mythical stories have been invented to account for this,Edgar Allan Poe
212,"enlisted in the army under an assumed name, and served for about",Edgar Allan Poe
213,"eighteen months in the artillery in a highly creditable manner,",Edgar Allan Poe
214,"account is plausible, but will need further explanation of its many",Edgar Allan Poe
215,"fables have been published about Poe, and even many fictitious documents",Edgar Allan Poe
216,"On the 28th February, 1829, Mrs. Allan died, and with her death the",Edgar Allan Poe
217,final thread that had bound Poe to her husband was broken. The adopted,Edgar Allan Poe
218,son arrived too late to take a last farewell of her whose influence had,Edgar Allan Poe
219,given the Allan residence its only claim upon the poet's heart. A kind,Edgar Allan Poe
220,"of truce was patched up over the grave of the deceased lady, but, for",Edgar Allan Poe
221,"poems, which included his longest piece, ""Al Aaraaf,"" and several others",Edgar Allan Poe
222,"collection, but failed to obtain any amount of public praise or personal",Edgar Allan Poe
223,profit for its author.,Edgar Allan Poe
224,saw he might have to rely largely upon his own exertions for a,Edgar Allan Poe
225,"livelihood, Poe expressed a wish to enter the army. After no little",Edgar Allan Poe
226,"Academy, a military school in many respects equal to the best in Europe",Edgar Allan Poe
227,"Academy it possessed anything but an attractive character, the",Edgar Allan Poe
228,"venture. Whatever may have resulted from the alleged aid, it is certain",Edgar Allan Poe
229,"to sad straits. He disappeared for nearly two years from public notice,",Edgar Allan Poe
230,"The prize was unanimously adjudged to Poe by the adjudicators, and Mr.",Edgar Allan Poe
231,obtaining a livelihood by literary labor. Through his new friend's,Edgar Allan Poe
232,"introduction to the proprietor of the 'Southern Literary Messenger', a",Edgar Allan Poe
233,periodicals of the day. This success was entirely due to the brilliancy,Edgar Allan Poe
234,"of further assistance from him, all doubt was settled by the will, by",Edgar Allan Poe
235,salary of about $520 brought him no pecuniary reward.,Edgar Allan Poe
236,"his connection with the 'Messenger', and moved with all his household",Edgar Allan Poe
237,"merits, excited public curiosity both in England and America; but Poe's",Edgar Allan Poe
238,"remuneration does not appear to have been proportionate to its success,",Edgar Allan Poe
239,nor did he receive anything from the numerous European editions the work,Edgar Allan Poe
240,among the many new periodicals Poe was enabled to earn some kind of a,Edgar Allan Poe
241,was probably with a view to such an eventuality that one of his,Edgar Allan Poe
242,"columns much of his best work; ultimately, however, he came to",Edgar Allan Poe
243,"loggerheads with its proprietor, Burton, who disposed of the magazine to",Edgar Allan Poe
244,"Arabesques', twenty-five of his stories, but he never received any",Edgar Allan Poe
245,issued the two under the title of 'Graham's Magazine'. Poe became a,Edgar Allan Poe
246,"contributor to the new venture, and in November of the year 1840",Edgar Allan Poe
247,circulation rose from five to fifty-two thousand copies.,Edgar Allan Poe
248,"construct a cipher which human ingenuity could not solve.""",Edgar Allan Poe
249,"to him, with one exception, and that exception he proved conclusively",Edgar Allan Poe
250,The year 1841 may be deemed the brightest of Poe's checkered career. On,Edgar Allan Poe
251,reputation already spreading rapidly in Europe as well as in his native,Edgar Allan Poe
252,But dark cankers were gnawing his heart. His pecuniary position was,Edgar Allan Poe
253,"still embarrassing. His writings, which were the result of slow and",Edgar Allan Poe
254,and but a slight share of the profits of the magazine he had rendered,Edgar Allan Poe
255,"world-famous, whilst a fearful domestic calamity wrecked all his hopes,",Edgar Allan Poe
256,"towards the end of his career. Its truth has never been disproved, and",Edgar Allan Poe
257,in its most important points it has been thoroughly substantiated. To a,Edgar Allan Poe
258,correspondent he writes in January 1848:,Edgar Allan Poe
259,"years ago, a wife whom I loved as no man ever loved before, ruptured a",Edgar Allan Poe
260,"could _not_ longer have endured, without total loss of reason.""",Edgar Allan Poe
261,writer says:,Edgar Allan Poe
262,"driven to the brink of madness, plunged still deeper into the Slough of",Edgar Allan Poe
263,"wife, the distracted man",Edgar Allan Poe
264,"""would steal out of the house at night, and go off and wander about",Edgar Allan Poe
265,"Accordingly, about the middle of 1845, Poe removed to New York, and",Edgar Allan Poe
266,shortly afterwards was engaged by Willis and his partner Morris as,Edgar Allan Poe
267,"resided with his wife and mother at Fordham, a few miles out of town,",Edgar Allan Poe
268,"industrious. With his pale, beautiful, and intellectual face, as a",Edgar Allan Poe
269,to treat him always with deferential courtsey.... With a prospect of,Edgar Allan Poe
270,"taking the lead in another periodical, he at last voluntarily gave up",Edgar Allan Poe
271,"his employment with us.""",Edgar Allan Poe
272,"the 'Evening Mirror', his marvellous poem of ""The Raven"" was published.",Edgar Allan Poe
273,"The effect was magical. Never before, nor, indeed, ever since, has a",Edgar Allan Poe
274,single short poem produced such a great and immediate enthusiasm. It did,Edgar Allan Poe
275,great difficulty in getting publishers to accept it. Since his death it,Edgar Allan Poe
276,unfortunate man now retreated with his dying wife and her mother to a,Edgar Allan Poe
277,"wealthy widow, and, after a short renewed acquaintance, was once more",Edgar Allan Poe
278,his trunk to a porter to carry to the train for Philadelphia. What now,Edgar Allan Poe
279,"personifying a voter. The election over, the dying poet was left in the",Edgar Allan Poe
280,"to the Washington University Hospital, where he expired on the 7th of",Edgar Allan Poe
281,"and, in the presence of a large number of people, were placed under a",Edgar Allan Poe
282,body has recently been placed by his side.,Edgar Allan Poe
283,"The story of that ""fitful fever"" which constituted the life of Edgar Poe",Edgar Allan Poe
284,"""Unhappy master, whom unmerciful disaster",Edgar Allan Poe
285,Followed fast and followed faster till his songs one burden,Edgar Allan Poe
286,mankind.,Edgar Allan Poe
287,And each separate dying ember wrought its ghost upon the floor.,Edgar Allan Poe
288,"Soon I heard again a tapping, somewhat louder than before.",Edgar Allan Poe
289,"Then this ebony bird beguiling my sad fancy into smiling,",Edgar Allan Poe
290,"""Though thy crest be shorn and shaven, thou,"" I said, ""art sure no",Edgar Allan Poe
291,"craven,",Edgar Allan Poe
292,Ghastly grim and ancient Raven wandering from the Nightly shore--,Edgar Allan Poe
293,For we cannot help agreeing that no living human being,Edgar Allan Poe
294,"On the morrow _he_ will leave me, as my hopes have flown before.""",Edgar Allan Poe
295,"Then the bird said, ""Nevermore.""",Edgar Allan Poe
296,Followed fast and followed faster till his songs one burden bore--,Edgar Allan Poe
297,What a liquid ditty floats,Edgar Allan Poe
298,At the melancholy menace of their tone!,Edgar Allan Poe
299,Of the bells:,Edgar Allan Poe
300,*       *       *       *       *,Edgar Allan Poe
301,In the misty mid region of Weir--,Edgar Allan Poe
302,"It was down by the dank tarn of Auber,",Edgar Allan Poe
303,"Of cypress, with Psyche, my Soul.",Edgar Allan Poe
304,These were days when my heart was volcanic,Edgar Allan Poe
305,With Hope and in Beauty to-night:--,Edgar Allan Poe
306,1847,Edgar Allan Poe
307,Of those who were older than we--,Edgar Allan Poe
308,Of many far wiser than we--,Edgar Allan Poe
309,*       *       *       *       *,Edgar Allan Poe
310,Search narrowly the lines!--they hold a treasure,Edgar Allan Poe
311,Divine--a talisman--an amulet,Edgar Allan Poe
312,The words--the syllables! Do not forget,Edgar Allan Poe
313,"You who are more than mother unto me,",Edgar Allan Poe
314,"My mother--my own mother, who died early,",Edgar Allan Poe
315,Was dearer to my soul than its soul-life.,Edgar Allan Poe
316,Thank Heaven! the crisis--,Edgar Allan Poe
317,That any beholder,Edgar Allan Poe
318,"The sighing and sobbing,",Edgar Allan Poe
319,That quenches all thirst:--,Edgar Allan Poe
320,And narrow my bed--,Edgar Allan Poe
321,"She tenderly kissed me,",Edgar Allan Poe
322,"In dreams of thee, and therein knows",Edgar Allan Poe
323,And thus thy memory is to me,Edgar Allan Poe
324,ELDORADO.,Edgar Allan Poe
325,"A gallant knight,",Edgar Allan Poe
326,"""Where can it be--",Edgar Allan Poe
327,"This land of Eldorado?""",Edgar Allan Poe
328,"""Over the Mountains",Edgar Allan Poe
329,"Down the Valley of the Shadow,",Edgar Allan Poe
330,"Ride, boldly ride,""",Edgar Allan Poe
331,Can compare with the bright-eyed Eulalie's most humble and careless,Edgar Allan Poe
332,Of sculptured ivy and stone flowers--,Edgar Allan Poe
333,But not the riches there that lie,Edgar Allan Poe
334,"Wrapping the fog about its breast,",Edgar Allan Poe
335,"Strange, above all, thy length of tress,",Edgar Allan Poe
336,"For ever with unopened eye,",Edgar Allan Poe
337,"power of accent, several advantages for versification over our own,",Edgar Allan Poe
338,"merely in short lines, producing a not uncommon form: but the presence",Edgar Allan Poe
339,ED. 'Am. Rev.'],Edgar Allan Poe
340,"Poe subsequently, at the suggestion of Mrs. Whitman wisely suppressed:",Edgar Allan Poe
341,"""Annabel Lee"" was written early in 1849, and is evidently an expression",Edgar Allan Poe
342,"quoted the poem in an obituary of Poe in the New York 'Tribune', before",Edgar Allan Poe
343,afterwards caused a corrected copy to be inserted in the 'Home Journal'.,Edgar Allan Poe
344,separate poem during its author's lifetime. A portion of it was,Edgar Allan Poe
345,named posthumous collection.,Edgar Allan Poe
346,For which my soul did pine--,Edgar Allan Poe
347,Where weeps the silver willow!,Edgar Allan Poe
348,*       *       *       *       *,Edgar Allan Poe
349,The music of the spheres.,Edgar Allan Poe
350,"With its Phantom chased for evermore,",Edgar Allan Poe
351,"By a crowd that seize it not,",Edgar Allan Poe
352,And Horror the soul of the plot.,Edgar Allan Poe
353,"But see, amid the mimic rout",Edgar Allan Poe
354,"The curtain, a funeral pall,",Edgar Allan Poe
355,"Where an Eidolon, named NIGHT,",Edgar Allan Poe
356,"From a wild weird clime that lieth, sublime,",Edgar Allan Poe
357,Mountains toppling evermore,Edgar Allan Poe
358,Into seas without a shore;,Edgar Allan Poe
359,"Surging, unto skies of fire;",Edgar Allan Poe
360,"Where dwell the Ghouls,--",Edgar Allan Poe
361,By each spot the most unholy--,Edgar Allan Poe
362,"In agony, to the Earth--and Heaven.",Edgar Allan Poe
363,For the heart whose woes are legion,Edgar Allan Poe
364,In joy and wo--in good and ill--,Edgar Allan Poe
365,"When the Hours flew brightly by,",Edgar Allan Poe
366,Let my future radiant shine,Edgar Allan Poe
367,"SCENES FROM ""POLITIAN.""",Edgar Allan Poe
368,And Alessandra's husband.,Edgar Allan Poe
369,In proper dignity.,Edgar Allan Poe
370,_Cos.,Edgar Allan Poe
371,He's not well!,Edgar Allan Poe
372,"Of Britain, Earl of Leicester?",Edgar Allan Poe
373,"And mother in Heaven! think of our quiet home,",Edgar Allan Poe
374,"_Pol_.            Baldazzar, it doth grieve me",Edgar Allan Poe
375,"Which with my mother's milk I did imbibe,",Edgar Allan Poe
376,There is an imp would follow me even there!,Edgar Allan Poe
377,"To me, Politian, of thy camps and courts.",Edgar Allan Poe
378,"In wealth and woe among,",Edgar Allan Poe
379,"Let us go down, I pray you.",Edgar Allan Poe
380,Even for thy woes I love thee--even for thy woes--,Edgar Allan Poe
381,"_Lal_.            Alas, proud Earl,",Edgar Allan Poe
382,"How, in thy father's halls, among the maidens",Edgar Allan Poe
383,"Thy wife, and with a tainted memory--",Edgar Allan Poe
384,By all I scorn on earth and hope in heaven--,Edgar Allan Poe
385,"My all;--oh, wilt thou--wilt thou, Lalage,",Edgar Allan Poe
386,Fly thither with me?,Edgar Allan Poe
387,_Lal_.            A deed is to be done--,Edgar Allan Poe
388,(_Exit_.),Edgar Allan Poe
389,"With those words upon thy lips--oh, speak to me!",Edgar Allan Poe
390,"'Tis well, 'tis _very_ well--alas! alas!",Edgar Allan Poe
391,"_Baldazzar_.      That, knowing no cause of quarrel or of feud",Edgar Allan Poe
392,_Pol_. (_aside_). 'Tis he--he comes himself!,Edgar Allan Poe
393,(_aloud_.) Thou reasonest well.,Edgar Allan Poe
394,"_Bal_.            I go--to-morrow we meet,",Edgar Allan Poe
395,Of Lalage!,Edgar Allan Poe
396,"Hold off--thy sacred hand!--avaunt, I say!",Edgar Allan Poe
397,Avaunt--I will not fight thee--indeed I dare not.,Edgar Allan Poe
398,"_Pol_.            Thou wilt not fight with me didst say, Sir Count?",Edgar Allan Poe
399,Hold off thy hand--with that beloved name,Edgar Allan Poe
400,I do remember it--what of it--what then?,Edgar Allan Poe
401,What are you talking of?,Edgar Allan Poe
402,Was neither learned nor mirthful.,Edgar Allan Poe
403,"All arm in arm, we met this very man",Edgar Allan Poe
404,"Touching those letters, sir, I wot not of them.",Edgar Allan Poe
405,"If such there be, my friend Baldazzar here--",Edgar Allan Poe
406,_Duke_.           Retire! Unwell!,Edgar Allan Poe
407,"poetry, I feel to be false--the less poetical the critic, the less just",Edgar Allan Poe
408,"glance from the binding to the bottom of the title-page, where the",Edgar Allan Poe
409,"There are, of course, many objections to what I say: Milton is a great",Edgar Allan Poe
410,"""As I am speaking of poetry, it will not be amiss to touch slightly upon",Edgar Allan Poe
411,"existence, everything connected with our existence, should be still",Edgar Allan Poe
412,"his fellow-men than he who instructs, since utility is happiness, and",Edgar Allan Poe
413,Albeit he soared with an undaunted wing!,Edgar Allan Poe
414,Near four bright suns--a temporary rest--,Edgar Allan Poe
415,"Whence sprang the ""Idea of Beauty"" into birth,",Edgar Allan Poe
416,"Like woman's hair 'mid pearls, until, afar,",Edgar Allan Poe
417,Fit emblems of the model of her world--,Edgar Allan Poe
418,Of her who lov'd a mortal--and so died [3].,Edgar Allan Poe
419,"Inmate of highest stars, where erst it sham'd",Edgar Allan Poe
420,"Deliriously sweet, was dropp'd from Heaven,",Edgar Allan Poe
421,Who livest--_that_ we know--,Edgar Allan Poe
422,"Of sunken suns at eve--at noon of night,",Edgar Allan Poe
423,To happy flowers that night--and tree to tree;,Edgar Allan Poe
424,"To lone lake that smiles,",Edgar Allan Poe
425,"Have mingled their shade,",Edgar Allan Poe
426,"Some have left the cool glade, and",Edgar Allan Poe
427,"And greener fields than in yon world above,",Edgar Allan Poe
428,"Methought, my sweet one, then I ceased to soar,",Edgar Allan Poe
429,"And fell--not swiftly as I rose before,",Edgar Allan Poe
430,For nearest of all stars was thine to ours--,Edgar Allan Poe
431,_She_ grants to us as granted by her God--,Edgar Allan Poe
432,"suddenly in the heavens--attained, in a few days, a brilliancy",Edgar Allan Poe
433,Unsheltered--and the heavy wind,Edgar Allan Poe
434,"(For passion must, with youth, expire)",Edgar Allan Poe
435,E'en _then_ who knew this iron heart,Edgar Allan Poe
436,The loveliness of loving well!,Edgar Allan Poe
437,Young Love's first lesson is----the heart:,Edgar Allan Poe
438,Shall form the pedestal of a throne--,Edgar Allan Poe
439,And beauty of so wild a birth--,Edgar Allan Poe
440,To the sound of the coming darkness (known,Edgar Allan Poe
441,"Shed all the splendor of her noon,",Edgar Allan Poe
442,"And, tho' my tread was soft and low,",Edgar Allan Poe
443,"Where there is nothing to deceive,",Edgar Allan Poe
444,"Helen, thy beauty is to me",Edgar Allan Poe
445,*       *       *       *       *,Edgar Allan Poe
446,"Therefore, thou art not wrong,",Edgar Allan Poe
447,While a bolder note than this might swell,Edgar Allan Poe
448,[Footnote 1:,Edgar Allan Poe
